institution,cz_label,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,pct_airea_completions
Mountwest Community and Technical College,"Huntington, WV",11.35822784810128,4.574683544303807,1880.5569620253118,0,2,0.40276384709684643
Mt Hood Community College,"Portland, OR",12.067159931701758,1.432555492316447,8244.981787137132,0,2,0.11871521554570318
Mt San Antonio College,"Los Angeles, CA",23.651122625215827,2.667242371905591,28671.643638457124,0,2,0.11277445109780497
Mt San Jacinto Community College District,"Los Angeles, CA",26.46039603960398,6.151485148514853,15208.330693069302,0,2,0.2324789522918614
Mt. San Antonio College,"Los Angeles, CA",16.886699507389135,3.3620689655172433,28573.812807881775,0,2,0.1990956826137694
Mt. San Jacinto Community College District,"Los Angeles, CA",20.52452830188678,3.4415094339622625,15188.603773584902,0,2,0.1676778819635963
Murray State College,"Ardmore, OK",13.612903225806447,0.22828784119106696,2393.406947890818,1,2,0.016769959897921988
Muskegon Community College,"Grand Rapids, MI",7.141903171953247,0.49749582637729506,4454.333889816357,0,2,0.069658719027583
NHTI-Concord's Community College,"Nashua, NH",12.840482573726538,1.341823056300266,3701.676943699727,1,2,0.10449942582733049
Napa Valley College,"San Francisco, CA",15.962660443407238,3.966161026837807,5597.558926487747,0,2,0.24846491228070175
Nash Community College,"Rocky Mount, NC & Wilson, NC",8.251004016064257,1.5682730923694796,3022.292168674698,1,2,0.1900705767826724
Nashua Community College,"Nashua, NH",7.176156583629893,1.3416370106761564,1805.1975088967947,0,2,0.18695759980163648
Nashville State Community College,"Nashville, TN",28.60720130932898,1.954173486088378,8569.932896890354,0,2,0.06831054408146911
Nassau Community College,"New York, NY",41.16062683643487,1.193927522037216,17989.695396669955,0,2,0.029006543723973766
National Park College,"Hot Springs, AR",13.138504155124647,2.1939058171745183,2307.157894736843,0,2,0.16698292220113883
National Park Community College,"Hot Springs, AR",11.524844720496889,0.819875776397515,3473.434782608695,1,2,0.07113985448666127
Naugatuck Valley Community College,NA,13.74586776859504,2.3140495867768593,6483.063016528934,0,2,0.16834510747031414
Navarro College,"Dallas, TX",21.591304347826096,1.931521739130437,8615.751086956534,1,2,0.08945831655255745
Neosho County Community College,"Parsons, KS & Chanute, KS",19,1.9856373429084408,2133.9461400359096,1,2,0.10450722857412846
New Community College at CUNY (The),"New York, NY",0,0,289,0,2,NA
New Mexico Junior College,"Odessa, TX & Midland, TX",8.419906687402817,0.6905132192846031,2561.082426127525,1,2,0.08200960472848151
New Mexico State University-Alamogordo,"Alamogordo, NM",4.464552238805958,0.20522388059701527,1972.4626865671673,1,2,0.04596740493104909
New Mexico State University-Carlsbad,"Roswell, NM",3.5,0.3421052631578947,1803.8516746411487,1,2,0.09774436090225562
New Mexico State University-Dona Ana,"El Paso, TX",15.093964858670777,1.5095492742551584,7921.825057295667,0,2,0.10001012248203248
New Mexico State University-Grants,"Gallup, NM",2.434782608695649,0.21913043478260874,929.3686956521757,1,2,0.09000000000000012
New River Community College,"Roanoke, VA",15.895017793594299,3.007117437722421,4565.690391459073,1,2,0.1891861636628234
New River Community and Technical College,"Beckley, WV",7.2884250474383245,1.6944971537001912,1553.1119544592034,1,2,0.2324915386618072
Niagara County Community College,"Buffalo, NY",10.014716187806505,0.7547302032235468,5243.096005606186,1,2,0.07536211601707439
Nicolet Area Technical College,"Rhinelander, WI",11.264752791068592,1.5645933014354052,1244.856459330144,1,2,0.1388928217471327
Norco College,"Los Angeles, CA",21.24763903462752,4.1699895068205635,10118.603357817417,0,2,0.1962566052644571
Normandale Community College,"Minneapolis, MN",29.44314381270902,0.2658862876254185,9674.546822742477,0,2,0.009030499233259517
North Arkansas College,"Harrison, AR",11.15119363395226,2.072944297082225,1962.9297082228097,1,2,0.18589438629876273
North Central Kansas Technical College,"Beloit, KS",15.48888888888889,6.1083333333333325,857.5305555555559,1,2,0.3943687230989956
North Central Michigan College,"Petoskey, MI & Cheboygan, MI",6.369623655913975,0.5456989247311826,2409.962365591394,1,2,0.085672082717873
North Central Missouri College,"Trenton, MO",10.531791907514444,0.5934489402697493,1765.8824662813101,1,2,0.056348335162824746
North Central State College,"Mansfield, OH",8.017654476670863,0.9962168978562415,2968.395964691046,1,2,0.12425290972003777
North Central Texas College,"Dallas, TX",29.337638376383758,2.5018450184501857,9240.998154981547,1,2,0.08527765549336526
North Country Community College,"Plattsburgh, NY",9.914215686274522,0.10539215686274504,1879.3357843137242,1,2,0.010630407911001217
North Dakota State College of Science,"Fargo, ND",9.157556270096471,4.5894962486602395,2998.622722400857,1,2,0.5011704119850187
North Florida College,"Cape Coral, FL",15.820000000000004,0.2900000000000006,1204.75,1,2,0.018331226295828097
North Florida Community College,"Cape Coral, FL",14.246753246753242,0.2857142857142857,1288.1038961038962,1,2,0.02005469462169554
North Georgia Technical College,"Gainesville, GA",10.946705426356571,3.7170542635658923,2628.1153100775196,1,2,0.3395591750022136
North Hennepin Community College,"Minneapolis, MN",21.94132985658406,0.6688396349413283,6619.172099087359,0,2,0.030483094658030757
North Idaho College,"Coeur d'Alene, ID",8.342494714587756,1.096723044397465,5328.480972515835,0,2,0.1314622402432843
North Iowa Area Community College,"Mason City, IA & Austin, MN",14.98992443324937,1.8035264483627214,2982.3841309823715,1,2,0.12031591329188378
North Lake College,"Dallas, TX",28.293617021276596,1.700000000000002,11183.697872340425,0,2,0.06008422319145743
North Seattle College,"Seattle, WA",18.467256637168123,2.3858407079646,5716.909734513278,0,2,0.1291930228100441
North Shore Community College,"Boston, MA",13.175688509021843,0.6077872744539417,6463.357075023746,0,2,0.04612945077122679
NorthWest Arkansas Community College,"Fayetteville, AR",19.73814898419861,0.6422121896162523,7935.02144469526,0,2,0.03253659652333032
Northampton County Area Community College,"Allentown, PA",16.403354632587863,1.7531948881789163,9938.756389776354,0,2,0.10688026488776368
Northcentral Technical College,"Wausau, WI",18.486622073578644,3.9548494983277456,5394.164715719066,0,2,0.21393034825870516
Northeast Alabama Community College,"Gadsden, AL",23.561290322580653,4.606451612903231,2846.9290322580655,1,2,0.19550930996714144
Northeast Community College,"Norfolk, NE",8.755956678700345,2.9133574007220226,5215.68953068592,1,2,0.3327286220829561
Northeast Iowa Community College,"Decorah, IA",10.250351617440224,2.58087201125176,4480.587904360055,1,2,0.25178375411635584
Northeast Iowa Community College-Calmar,"Decorah, IA",14.024691358024688,2.8806584362139924,5103.078189300411,1,2,0.20539906103286396
Northeast Lakeview College,"San Antonio, TX",29.67375886524823,0.19858156028368765,6286.9503546099295,0,2,0.006692160611854674
Northeast Mississippi Community College,"Tupelo, MS",8.433155080213897,1.2762923351158633,3464.663992869876,1,2,0.15134221094905936
Northeast State Community College,"Johnson City, TN",31.96793587174349,6.503006012024048,5946.466933867737,1,2,0.2034227683049147
Northeast Texas Community College,"Texarkana, TX",13.160621761658028,1.4887737478411036,3114.822107081174,1,2,0.11312335958005239
Northeast Wisconsin Technical College,"Green Bay, WI",23.811543810848374,4.595966620305981,10590.308762169683,0,2,0.1930142227154583
Northeastern Junior College,"Sterling, CO",12.854545454545455,3.8262626262626216,1638.2060606060595,1,2,0.2976583372622973
Northeastern Oklahoma A&M College,"Miami, OK",9.575562700964632,0.9083601286173633,2088.072347266882,1,2,0.094862323707186
Northeastern Technical College,"Myrtle Beach, SC",8.688888888888888,2.5138888888888915,1203.9138888888892,1,2,0.2893222506393865
Northern Essex Community College,"Boston, MA",12.115928369462779,0.7926484448633365,5963.324222431654,1,2,0.06542201478024111
Northern Maine Community College,"Presque Isle, ME & Caribou, ME",5.256310679611648,1.8776699029126236,909.959223300971,1,2,0.3572220169929818
Northern Oklahoma College,"Stillwater, OK",25.288990825688074,2.0481651376146797,4367.323394495414,1,2,0.0809903863595139
Northern Virginia Community College,"Washington, DC",78.6859827721223,7.92404072043852,51369.96162881753,0,2,0.10070460380963728
Northern Wyoming Community College District,"Sheridan, WY",10.684999999999999,3.0875,3872.0649999999987,1,2,0.28895648104819843
Northland Community and Technical College,"Grand Forks, ND",13.271687321258375,3.4432793136320212,3412.021925643474,1,2,0.25944548197097983
Northland Pioneer College,"Gallup, NM",6.64796380090496,2.1628959276018023,3282.1185520361946,1,2,0.3253471276885377
Northshore Technical College-Sullivan Main Campus,"New Orleans, LA",34.02173913043479,12.478260869565222,3531,1,2,0.3667731629392972
Northshore Technical Community College,"New Orleans, LA",29.011111111111116,12.522222222222219,4044.473015873015,1,2,0.43163538873994617
Northwest College,"Cody, WY",4.9420289855072435,1.0966183574879227,1702.7536231884087,1,2,0.2218963831867059
Northwest Florida State College,"Pensacola, FL",22.786492374727654,0.3387799564270154,5898.506535947706,0,2,0.014867578162348233
Northwest Iowa Community College,"Sioux Center, IA",11.336864406779666,5.122881355932203,1669.0868644067796,1,2,0.4518781536161463
Northwest Kansas Technical College,"Goodland, KS",6.992619926199256,4.1420664206642055,676.6586715867157,1,2,0.5923482849604225
Northwest Louisiana Technical College,"Shreveport, LA",37.46532846715326,24.083941605839396,2397.0802919708003,1,2,0.6428327894403583
Northwest Louisiana Technical Community College,"Shreveport, LA",23.09090909090909,17.075757575757574,977.4242424242424,1,2,0.739501312335958
Northwest Mississippi Community College,"Memphis, TN",18.38475836431225,2.4758364312267758,7501.925650557621,1,2,0.1346678798908105
Northwest Shoals Community College,"Huntsville, AL",16.6875,2.40625,4136,0,2,0.1441947565543071
Northwest Shoals Community College-Muscle Shoals,"Huntsville, AL",10.607142857142854,2.0119047619047614,4214,0,2,0.18967452300785634
Northwest State Community College,"Toledo, OH",5.1785714285714235,1.1611721611721606,3601.130952380955,1,2,0.22422634836427952
Northwest Technical College,"Bemidji, MN & Brainerd, MN",5.853785900783314,1.0522193211488269,1037.1984334203648,1,2,0.1797502230151646
Northwest Vista College,"San Antonio, TX",31.87474541751515,1.0050916496945037,16750.784114052956,1,2,0.031532538896521085
Northwest-Shoals Community College,"Huntsville, AL",16.62212943632569,4.2943632567849646,3658.219206680585,0,2,0.25835217282089884
Northwestern Connecticut Community College,NA,4.882797731568997,0.12665406427221193,1417.1625708884696,1,2,0.025938830816879643
Northwestern Michigan College,"Traverse City, MI",11.66332218506129,1.437012263099224,3945.036789297664,1,2,0.12320779965589818
Northwood Technical College,"Rice Lake, WI",14.083832335329342,3.2395209580838333,2667.263473053892,1,2,0.23001700680272114
Norwalk Community College,NA,11.325706594885599,0.37954239569313597,5716.952893674291,0,2,0.03351158645276293
Nunez Community College,"New Orleans, LA",19.464646464646464,6.214646464646458,2447.494949494949,0,2,0.31927867151011907
Oakland Community College,"Detroit, MI",20.664305177111704,1.7602179836512297,20588.78310626697,0,2,0.08518157124396764
Oakton College,"Chicago, IL",19.449275362318836,1.318840579710144,7032,0,2,0.06780923994038744
Oakton Community College,"Chicago, IL",15.986737400530506,1.5313881520778065,9511.7895667551,0,2,0.09579116199325252
Ocean County College,"Long Branch, NJ",38.91516245487368,0.49638989169675096,8463.175090252704,0,2,0.01275569367781436
Oconee Fall Line Technical College,"Milledgeville, GA",9.638802889576843,3.511867905056758,1702.6965944272442,1,2,0.36434689507494783
Odessa College,"Odessa, TX & Midland, TX",10.58673811118546,1.8740790354989965,6201.442062960491,0,2,0.17702138428445027
Ogeechee Technical College,"Savannah, GA",10.338688946015438,2.0816195372750683,2161.245501285348,1,2,0.2013426990737864
Ohlone College,"San Francisco, CA",14.944157187176819,1.7331954498448803,9431.422957600818,0,2,0.11597813300117647
Ohlone Community College,"San Francisco, CA",7.362499999999993,1.341666666666666,11072.545833333332,1,2,0.18222976796830795
Oklahoma City Community College,"Oklahoma City, OK",25.773737373737447,2.1737373737373784,12918.77979797979,0,2,0.08433923812509792
Olney Central College,"Olney, IL",12.93654822335025,1.5431472081218278,1118.700507614214,1,2,0.11928585442417114
Olympic College,"Seattle, WA",26.788983050847445,11.206779661016933,6584.943220338998,0,2,0.41833538957957633
