cz,is_green_soc,year,num_postings
10,0,2019,83277
10,0,2020,74828
10,0,2021,104958
10,0,2022,111562
10,0,2023,112691
10,0,2024,98505
10,1,2010,5838
10,1,2011,7486
10,1,2012,6523
10,1,2013,7556
10,1,2014,7443
10,1,2015,8016
10,1,2016,10190
10,1,2017,11833
10,1,2018,16028
10,1,2019,17930
10,1,2020,15324
10,1,2021,19254
10,1,2022,22918
10,1,2023,23597
10,1,2024,19757
11,0,2010,1918
11,0,2011,2167
11,0,2012,1419
11,0,2013,2516
11,0,2014,2992
11,0,2015,5537
11,0,2016,4409
11,0,2017,4611
11,0,2018,4525
11,0,2019,3546
11,0,2020,3219
11,0,2021,4237
11,0,2022,3776
11,0,2023,5434
11,0,2024,4016
11,1,2010,136
11,1,2011,293
11,1,2012,171
11,1,2013,465
11,1,2014,460
11,1,2015,565
11,1,2016,436
11,1,2017,489
11,1,2018,684
11,1,2019,526
11,1,2020,298
11,1,2021,511
11,1,2022,546
11,1,2023,525
11,1,2024,446
12,0,2010,751
12,0,2011,824
12,0,2012,1803
12,0,2013,943
12,0,2014,1894
12,0,2015,1817
12,0,2016,2018
12,0,2017,2256
12,0,2018,2525
12,0,2019,1897
12,0,2020,1567
12,0,2021,2254
12,0,2022,1588
12,0,2023,2042
12,0,2024,2376
12,1,2010,64
12,1,2011,141
12,1,2012,206
12,1,2013,159
12,1,2014,336
12,1,2015,236
12,1,2016,288
12,1,2017,410
12,1,2018,599
12,1,2019,469
12,1,2020,199
12,1,2021,337
12,1,2022,301
12,1,2023,286
12,1,2024,410
13,0,2010,39
13,0,2011,44
13,0,2012,280
13,0,2013,65
13,0,2014,65
13,0,2015,89
13,0,2016,225
13,0,2017,294
13,0,2018,207
13,0,2019,124
13,0,2020,96
13,0,2021,133
13,0,2022,98
13,0,2023,67
13,0,2024,119
13,1,2010,21
13,1,2011,10
13,1,2012,54
13,1,2013,26
13,1,2014,19
13,1,2015,15
13,1,2016,40
13,1,2017,17
13,1,2018,29
13,1,2019,41
13,1,2020,14
13,1,2021,73
13,1,2022,85
13,1,2023,50
13,1,2024,65
14,0,2010,169
14,0,2011,132
14,0,2012,326
14,0,2013,212
14,0,2014,204
14,0,2015,353
14,0,2016,503
14,0,2017,397
14,0,2018,330
14,0,2019,228
14,0,2020,165
14,0,2021,215
14,0,2022,182
14,0,2023,203
14,0,2024,286
14,1,2010,49
14,1,2011,47
14,1,2012,80
14,1,2013,71
14,1,2014,55
14,1,2015,54
14,1,2016,85
14,1,2017,77
14,1,2018,69
14,1,2019,67
14,1,2020,38
14,1,2021,48
14,1,2022,33
14,1,2023,35
14,1,2024,55
15,0,2010,43361
15,0,2011,36092
15,0,2012,39499
15,0,2013,50698
15,0,2014,55564
