year,soc_group_short,total_postings
2022,Life/Physical/Social Sci,405255
2022,"Arts, Media & Sports",70378
2022,Healthcare Practitioners & Tech,38904
2022,Protective Service,8521
2022,Building & Grounds Maint,232537
2022,Personal Care & Service,98212
2022,Farming/Fishing/Forestry,23126
2022,Construction & Extraction,584455
2022,Install/Maint/Repair,1569132
2022,Production,444938
2022,Transportation & Material Moving,982037
2023,Management,687212
2023,Business & Financial Ops,134560
2023,Architecture & Engineering,922055
2023,Life/Physical/Social Sci,326359
2023,"Arts, Media & Sports",44979
2023,Healthcare Practitioners & Tech,45664
2023,Protective Service,8297
2023,Building & Grounds Maint,176316
2023,Personal Care & Service,68801
2023,Farming/Fishing/Forestry,20175
2023,Construction & Extraction,478209
2023,Install/Maint/Repair,1365207
2023,Production,380816
2023,Transportation & Material Moving,819249
