# http://127.0.0.1:5790/ --workers 20 --loaded-duration-minutes 5 --output-dir loadtest-20
# {"appUrl":"http://127.0.0.1:5790/","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"loadtest-20","overwriteOutput":false,"receiveQueueSize":50,"recordingPath":"recording.log","workers":20}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
141,1,7,PLAYER_SESSION_CREATE,1756905911503,0,
141,1,7,REQ_HOME_START,1756905911503,4,
141,1,7,REQ_HOME_END,1756905912920,4,
141,1,7,REQ_GET_START,1756905912920,5,
141,1,7,REQ_GET_END,1756905912922,5,
141,1,7,REQ_GET_START,1756905912922,6,
141,1,7,REQ_GET_END,1756905912923,6,
141,1,7,REQ_GET_START,1756905912923,7,
141,1,7,REQ_GET_END,1756905912923,7,
141,1,7,REQ_GET_START,1756905912923,8,
141,1,7,REQ_GET_END,1756905912924,8,
141,1,7,REQ_GET_START,1756905912924,9,
141,1,7,REQ_GET_END,1756905912924,9,
141,1,7,REQ_GET_START,1756905912924,10,
141,1,7,REQ_GET_END,1756905912928,10,
141,1,7,REQ_GET_START,1756905912928,11,
141,1,7,REQ_GET_END,1756905912929,11,
141,1,7,REQ_GET_START,1756905912929,12,
141,1,7,REQ_GET_END,1756905912930,12,
141,1,7,REQ_GET_START,1756905912930,13,
141,1,7,REQ_GET_END,1756905912938,13,
141,1,7,REQ_GET_START,1756905912938,14,
141,1,7,REQ_GET_END,1756905912941,14,
141,1,7,REQ_GET_START,1756905912941,15,
141,1,7,REQ_GET_END,1756905912942,15,
141,1,7,REQ_GET_START,1756905912942,16,
141,1,7,REQ_GET_END,1756905912945,16,
141,1,7,WS_OPEN_START,1756905912945,17,
141,1,7,WS_OPEN_END,1756905913136,17,
141,1,7,PLAYBACK_SLEEPBEFORE_START,1756905913136,18,
141,1,7,PLAYBACK_SLEEPBEFORE_END,1756905913291,18,
141,1,7,WS_SEND_START,1756905913291,18,
141,1,7,WS_SEND_END,1756905913291,18,
141,1,7,WS_RECV_INIT_START,1756905913291,19,
141,1,7,WS_RECV_INIT_END,1756905913402,19,
141,1,7,WS_RECV_START,1756905913402,20,
141,1,7,WS_RECV_END,1756905913560,20,
141,1,7,WS_RECV_START,1756905913560,21,
141,1,7,WS_RECV_END,1756905913568,21,
141,1,7,WS_RECV_START,1756905913568,22,
141,1,7,WS_RECV_END,1756905913573,22,
141,1,7,PLAYBACK_SLEEPBEFORE_START,1756905913573,23,
141,1,7,PLAYBACK_SLEEPBEFORE_END,1756905913574,23,
141,1,7,REQ_GET_START,1756905913574,23,
141,1,7,REQ_GET_END,1756905914152,23,
141,1,7,WS_RECV_START,1756905914152,24,
141,1,7,WS_RECV_END,1756905914154,24,
141,1,7,WS_RECV_START,1756905914154,25,
141,1,7,WS_RECV_END,1756905914154,25,
141,1,7,PLAYBACK_SLEEPBEFORE_START,1756905914154,26,
141,1,7,PLAYBACK_SLEEPBEFORE_END,1756905914207,26,
141,1,7,REQ_GET_START,1756905914207,26,
141,1,7,REQ_GET_END,1756905915268,26,
