# http://127.0.0.1:5790/ --workers 20 --loaded-duration-minutes 5 --output-dir loadtest-20
# {"appUrl":"http://127.0.0.1:5790/","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"loadtest-20","overwriteOutput":false,"receiveQueueSize":50,"recordingPath":"recording.log","workers":20}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
147,7,7,WS_SEND_START,1756905939910,43,
147,7,7,WS_SEND_END,1756905939910,43,
147,7,7,WS_RECV_START,1756905939910,44,
147,7,7,WS_RECV_END,1756905940384,44,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905940384,45,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905942817,45,
147,7,7,WS_SEND_START,1756905942817,45,
147,7,7,WS_SEND_END,1756905942817,45,
147,7,7,WS_RECV_START,1756905942817,46,
147,7,7,WS_RECV_END,1756905943632,46,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905943632,47,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905945142,47,
147,7,7,WS_SEND_START,1756905945142,47,
147,7,7,WS_SEND_END,1756905945142,47,
147,7,7,WS_RECV_START,1756905945142,48,
147,7,7,WS_RECV_END,1756905945705,48,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905945705,49,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905946782,49,
147,7,7,WS_SEND_START,1756905946785,49,
147,7,7,WS_SEND_END,1756905946785,49,
147,7,7,WS_RECV_START,1756905946785,50,
147,7,7,WS_RECV_END,1756905947021,50,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905947021,51,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905948317,51,
147,7,7,WS_SEND_START,1756905948317,51,
147,7,7,WS_SEND_END,1756905948317,51,
147,7,7,WS_RECV_START,1756905948317,52,
147,7,7,WS_RECV_END,1756905948560,52,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905948560,53,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905949330,53,
147,7,7,WS_SEND_START,1756905949331,53,
147,7,7,WS_SEND_END,1756905949331,53,
147,7,7,WS_RECV_START,1756905949331,54,
147,7,7,WS_RECV_END,1756905949801,54,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905949801,55,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905952977,55,
147,7,7,WS_SEND_START,1756905952977,55,
147,7,7,WS_SEND_END,1756905952978,55,
147,7,7,WS_RECV_START,1756905952978,56,
147,7,7,WS_RECV_END,1756905953163,56,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905953163,57,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905953357,57,
147,7,7,WS_SEND_START,1756905953357,57,
147,7,7,WS_SEND_END,1756905953357,57,
147,7,7,WS_RECV_START,1756905953357,58,
147,7,7,WS_RECV_END,1756905953564,58,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905953564,59,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957327,59,
147,7,7,WS_SEND_START,1756905957327,59,
147,7,7,WS_SEND_END,1756905957327,59,
147,7,7,WS_RECV_START,1756905957327,60,
147,7,7,WS_RECV_END,1756905957367,60,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957367,61,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957421,61,
147,7,7,WS_SEND_START,1756905957421,61,
147,7,7,WS_SEND_END,1756905957421,61,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957421,62,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957423,62,
147,7,7,WS_SEND_START,1756905957423,62,
147,7,7,WS_SEND_END,1756905957423,62,
147,7,7,WS_SEND_START,1756905957423,63,
147,7,7,WS_SEND_END,1756905957423,63,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957423,64,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957424,64,
147,7,7,WS_SEND_START,1756905957424,64,
147,7,7,WS_SEND_END,1756905957424,64,
147,7,7,WS_SEND_START,1756905957424,65,
147,7,7,WS_SEND_END,1756905957424,65,
147,7,7,WS_SEND_START,1756905957424,66,
147,7,7,WS_SEND_END,1756905957424,66,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957424,67,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957425,67,
147,7,7,WS_SEND_START,1756905957425,67,
147,7,7,WS_SEND_END,1756905957425,67,
147,7,7,WS_SEND_START,1756905957425,68,
147,7,7,WS_SEND_END,1756905957425,68,
147,7,7,WS_SEND_START,1756905957425,69,
147,7,7,WS_SEND_END,1756905957425,69,
147,7,7,WS_SEND_START,1756905957425,70,
147,7,7,WS_SEND_END,1756905957425,70,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957425,71,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957427,71,
147,7,7,WS_SEND_START,1756905957427,71,
147,7,7,WS_SEND_END,1756905957427,71,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957427,72,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957428,72,
147,7,7,WS_SEND_START,1756905957428,72,
147,7,7,WS_SEND_END,1756905957428,72,
147,7,7,WS_SEND_START,1756905957428,73,
147,7,7,WS_SEND_END,1756905957428,73,
147,7,7,WS_SEND_START,1756905957428,74,
147,7,7,WS_SEND_END,1756905957428,74,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957428,75,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957429,75,
147,7,7,WS_SEND_START,1756905957429,75,
147,7,7,WS_SEND_END,1756905957429,75,
